Pkts_Per_Sec,MBits_Per_Sec,Pkt_Size_Avg,Pkt_Size_Std,Pkt_Size_Q1,Pkt_Size_Q2,Pkt_Size_Q3,Pkt_Size_Min,Pkt_Size_Max,Anomaly
1777.2613522038685,0.7635474593506721,53.70253075074226,20.090548381776607,52.0,52.0,52.0,52,1996,0
843.0,31.513696,4672.849347568209,2424.234096516169,2948.0,4396.0,5844.0,52,14532,0
4256.91020600311,124.29008304692108,3649.656588705077,2326.2322778097146,2948.0,2948.0,4396.0,52,26116,0
3.0,0.008352,348.0,48.49742261192856,320.0,320.0,362.0,320,404,0
2239.944866001205,0.9915914747790585,55.335707690278326,23.42097988281656,52.0,52.0,52.0,52,404,0
6.0,0.040904,852.1666666666666,1765.7363808526645,43.0,71.5,358.75,40,4442,0
2.0000244998173584,0.0015360188158597312,96.0,0.0,96.0,96.0,96.0,96,96,0
282.61088108264016,3.2520214476103497,1438.3829787234042,2044.9367774097145,244.0,286.0,2948.0,52,7292,0
1863.3471646950811,61.67365065096027,4137.289323984654,1923.7494646338168,2948.0,4396.0,4396.0,52,17428,0
1835.0,0.791904,53.94441416893733,15.829626060094377,52.0,52.0,52.0,52,232,0
3059.072635411228,62.595003601305294,2557.7605969827973,2205.623780293891,1430.0,1430.0,2808.0,52,20722,0
4.640124708090644,0.0019302918785657078,52.0,17.566201313073595,40.0,40.0,76.0,40,76,0
21.0,0.047808,284.57142857142856,87.34561891049339,224.0,296.0,320.0,152,420,0
3236.227271109586,62.466462216589875,2412.7810326487192,2044.2607654225305,1430.0,1430.0,2808.0,52,22100,0
2.0,0.00736,460.0,0.0,460.0,460.0,460.0,460,460,0
899.4207857437161,0.42151071832085546,58.5808562857922,80.34501227395874,52.0,52.0,52.0,52,4532,0
2630.0146918358096,54.102243471173054,2571.3850401254067,2385.4975018261553,1430.0,1430.0,2808.0,52,22100,0
402.0,0.171744,53.40298507462686,12.873518258963482,52.0,52.0,52.0,52,232,0
4318.730973899643,142.8559653667817,4134.778428840998,1728.4478103209294,2948.0,4396.0,4396.0,52,15980,0
2992.1840799256493,61.28956634901511,2560.402565144741,2285.672620292939,1430.0,1430.0,2808.0,52,22100,0
2071.279868460544,0.8868570790485039,53.5210796807755,19.971267401321196,52.0,52.0,52.0,52,1924,0
1567.7518676023092,30.10772739990949,2400.5494764579435,2036.2260027081822,1430.0,1430.0,2808.0,52,20722,0
5375.222931731288,148.4682070967919,3452.6058031088082,2100.2483067595285,1500.0,2948.0,4396.0,52,20324,0
1856.9246980374367,0.7956686991823326,53.56091579960581,12.122402444402164,52.0,52.0,52.0,52,1332,0
151.26064094381894,1.7889905926839633,1478.4006116207952,765.1231035316517,1430.0,1430.0,1430.0,52,6942,0
1461.2020164478156,48.019260429914304,4107.856056981875,3773.1775640350916,1430.0,2692.0,5564.0,52,19344,0
2.0,0.001216,76.0,0.0,76.0,76.0,76.0,76,76,0
2.0942547730795793,0.001608387665725117,96.0,0.0,96.0,96.0,96.0,96,96,0
2152.5424100173454,0.9281416760741713,53.8979901020099,32.04549318286861,52.0,52.0,52.0,52,2104,0
3.0,0.004864,202.66666666666666,130.49648781991542,164.0,276.0,278.0,52,280,0
2.0291431808043034,0.0015583819628577052,96.0,0.0,96.0,96.0,96.0,96,96,0
228.58886217069724,0.4402928218066132,240.7667731629393,100.65133991046565,152.0,296.0,320.0,52,420,0
221.9317720711065,2.785270757273335,1568.7652173913043,2663.0932825090435,244.0,280.0,372.0,52,10188,0
5172.231980736353,151.17428904077977,3653.5070740209144,1912.0138586478452,2948.0,2948.0,4396.0,52,17428,0
5.0,0.012512,312.8,64.39875775199395,296.0,320.0,320.0,224,404,0
2.045537103428225,0.001570972495432877,96.0,0.0,96.0,96.0,96.0,96,96,0
3656.8496260747625,69.67216029726372,2381.56362106313,1999.6715846194197,1430.0,1430.0,2808.0,52,20722,0
7.3102908736399055,0.003181438588208087,54.4,17.937823648407836,40.0,40.0,76.0,40,76,0
4867.877110211881,179.72076291634653,4614.967645221736,2613.1565364584767,2948.0,4396.0,5844.0,52,26116,0
2.0198129764369717,0.0015512163659035941,96.0,0.0,96.0,96.0,96.0,96,96,0
777.0,31.752192,5108.138996138996,2817.3664754418755,2948.0,4396.0,5844.0,52,17428,0
2.0502171283908632,0.0015745667546041829,96.0,0.0,96.0,96.0,96.0,96,96,0
1892.4768163377894,0.8228901385288176,54.352722542278386,18.67263734035365,52.0,52.0,52.0,52,404,0
2421.9144170385316,1.0354629489768306,53.44237918215613,16.84323755433864,52.0,52.0,52.0,52,1168,0
2401.5710514431375,1.0255056918839887,53.376814068635824,15.673221245278036,52.0,52.0,52.0,52,1708,0
2223.09211036002,0.9688988022238209,54.47923174823556,18.56687600972107,52.0,52.0,52.0,52,404,0
2775.537251089267,85.75378296983844,3862.0353111899385,2282.3639620295558,2948.0,2948.0,4396.0,52,27564,0
2.0402337166538222,0.0015668994943901357,96.0,0.0,96.0,96.0,96.0,96,96,0
2377.5341899364917,1.0194120155204538,53.59607549679887,19.033231625248657,52.0,52.0,52.0,52,1430,0
3241.8762999660967,69.46412458035459,2678.3920079353834,2276.977452421106,1430.0,1430.0,2808.0,52,15210,0
1761.1295420293693,0.7582632556689107,53.81938392186326,15.084108941929033,52.0,52.0,52.0,52,244,0
210.0649881835113,2.5981029797954447,1546.0114285714285,2468.5691039694334,244.0,280.0,767.0,52,8740,0
17.0,0.055248,406.2352941176471,669.5230139259372,78.0,91.0,509.0,40,2472,0
